"LOCATION","Country","TRANSACT","Transaction","PRODUCT","Product","FLOW","Flow","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","UP2Z95","P2, Repair of computers and personal and household goods","P52","Warehousing and support services for transportation","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,2,,
"NLD","Netherlands","UP2Z37_39","P2, Sewerage, waste collection and management services  ","P77","Rental and leasing services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,162,,
"NLD","Netherlands","UP2Z94","P2, Activities of membership organizations   ","P28","Machinery and equipment n.e.c.","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1,,
"NLD","Netherlands","UP2ZQ","P2, Human health and social work activities  ","P33","Repair and installation services of machinery and equipment","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,48,,
"NLD","Netherlands","UP2Z31_32","P2, Manufacture of furniture, other manufacturing","P20","Chemicals and chemical products","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,638,,
"NLD","Netherlands","UP2ZK","P2, Financial and insurance activities","PN","Administrative and support services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,3043,,
"NLD","Netherlands","UP3S14","Final consumption expenditure by households, domestic concept ","P59_60","Audiovisual and broadcasting services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,806,,
"NLD","Netherlands","UP2ZH","P2, Transportation and storage  ","PK","Financial and insurance services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1007,,
"NLD","Netherlands","UP2Z77","P2, Rental and leasing activities","P79","Travel agency, tour operator & other reservation services & related serv.","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1,,
"NLD","Netherlands","UP2ZU","P2, Activities of extraterritorial organizations and bodies","P21","Basic pharmaceutical products and pharmaceutical preparations","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2Z62_63","P2, IT and other information services","P58","Publishing services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,435,,
"NLD","Netherlands","UP2ZM","P2, Professional, scientific and technical activities","P80_82","Security & investigation serv., serv. to buildings & other business support","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1509,,
"NLD","Netherlands","UP2ZN","P2, Administrative and support service activities","P59_60","Audiovisual and broadcasting services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,70,,
"NLD","Netherlands","UP2Z80_82","P2, Security, services to buildings and other business support activities","P26","Computer, electronic and optical products","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,199,,
"NLD","Netherlands","UP2Z49","P2, Land transport and transport via pipelines","P19","Coke and refined petroleum products","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,2460,,
"NLD","Netherlands","UP2ZR","P2, Arts, entertainment and recreation","P13_15","Textiles, wearing apparel, leather and related products","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,21,,
