"LOCATION","Country","TRANSACT","Transaction","ACTIVITY","Activity","PRODUCT","Product","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","PM","Professional, scientific and technical services","RT","Ratio","2019","2019",,,"0","Units",,,0.003364,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P25","Fabricated metal products, except machinery and equipment","RT","Ratio","2019","2019",,,"0","Units",,,29.297134,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P77","Rental and leasing services ","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","PS","Other services","RT","Ratio","2019","2019",,,"0","Units",,,1.728964,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P74_75","Other professional, scientific and tech. services and veterinary services","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","PN","Administrative and support services","RT","Ratio","2019","2019",,,"0","Units",,,13.915671,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P49","Land transport services and transport services via pipelines","RT","Ratio","2019","2019",,,"0","Units",,,6.660254,"E","Estimated value"
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P80_82","Security & investigation serv., serv. to buildings & other business support","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P78","Employment services","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP51B_FP7","Share of imported products in GFCF at basic prices ","ZTOT","Total activity","PB","Mining and quarrying","RT","Ratio","2019","2019",,,"0","Units",,,100,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P47","Retail trade services, except of motor vehicles and motorcycles","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P59_60","Audiovisual and broadcasting services","RT","Ratio","2019","2019",,,"0","Units",,,17.989629,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P80_82","Security & investigation serv., serv. to buildings & other business support","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","PQ","Human health and social work services","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","PB","Mining and quarrying","RT","Ratio","2019","2019",,,"0","Units",,,84.301075,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P19","Coke and refined petroleum products","RT","Ratio","2019","2019",,,"0","Units",,,62.148671,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P21","Basic pharmaceutical products and pharmaceutical preparations","RT","Ratio","2019","2019",,,"0","Units",,,86.204415,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P53","Postal and courier services ","RT","Ratio","2019","2019",,,"0","Units",,,0,,
