"LOCATION","Country","TRANSACT","Transaction","ACTIVITY","Activity","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","UB3G","of which: Mixed income, gross","Z17","Manufacture of paper and paper products","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,2,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","Z28","Manufacture of machinery and equipment n.e.c.","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,-282,,
"NLD","Netherlands","UD1","Compensation of employees","Z72","Scientific research and development","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,2936,,
"NLD","Netherlands","UB3G","of which: Mixed income, gross","Z53","Postal and courier activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,224,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","ZB","Mining and quarrying","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,2115,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","ZH","Transportation and storage","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,51872,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","Z37_39","Sewerage, waste collection and management services","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1354,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","Z65","Insurance, reinsurance and pension funding, except compulsory S.S.","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,3617,,
"NLD","Netherlands","UB1G","Value added at basic prices","Z96","Other personal service activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,3640,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","Z18","Printing and reproduction of recorded media","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,352,,
"NLD","Netherlands","UB2N_B3N","Operating surplus and mixed income, net ","Z78","Employment activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,765,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","ZA","Agriculture, forestry and fishing","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,2903,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z20","Manufacture of chemicals and chemical products","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,38758,,
"NLD","Netherlands","UD1","Compensation of employees","ZF","Construction","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,18362,,
"NLD","Netherlands","UB2N_B3N","Operating surplus and mixed income, net ","Z58","Publishing activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1182,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","Z45","Wholesale and retail trade and repair of motor vehicles and motorcycles","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,3987,,
"NLD","Netherlands","UB3G","of which: Mixed income, gross","ZC","Manufacturing","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,4608,,
"NLD","Netherlands","UB2N_B3N","Operating surplus and mixed income, net ","Z59_60","Audiovisual and broadcasting activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1006,,
"NLD","Netherlands","UD1","Compensation of employees","Z51","Air transport","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,2306,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z28","Manufacture of machinery and equipment n.e.c.","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,21694,,
"NLD","Netherlands","UP1","Output at basic prices","Z52","Warehousing and support activities for transportation","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,25824,,
"NLD","Netherlands","UD1","Compensation of employees","ZB","Mining and quarrying","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,808,,
"NLD","Netherlands","UB1G","Value added at basic prices","Z68B","Real estate activities excluding imputed rents","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,31248,,
"NLD","Netherlands","UB2G_B3G","Operating surplus and mixed income, gross","Z64","Financial service activities, except insurance and pension funding","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,22140,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","ZN","Administrative and support service activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,174,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","Z24","Manufacture of basic metals","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,14,,
"NLD","Netherlands","UP1","Output at basic prices","ZQ","Human health and social work activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,95333,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","Z74_75","Other professional, scientific and tech. activities, veterinary activ.","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,-35,,
"NLD","Netherlands","UP1","Output at basic prices","ZA","Agriculture, forestry and fishing","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,32416,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","Z86","Human health activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,20263,,
"NLD","Netherlands","UB2N_B3N","Operating surplus and mixed income, net ","Z94","Activities of membership organizations","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,-39,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","Z01","Crop and animal production, hunting and related service activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,-634,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z02","Forestry and logging","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,162,,
