LOCATION,Country,TRANSACT,Transaction,PRODUCT,Product,FLOW,Flow,MEASURE,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
NLD,Netherlands,UP2Z52,"P2, Warehousing and support activities for transportation",BPTOT,Total product at basic prices (bp),FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,10422,,
NLD,Netherlands,UP2ZJ,"P2, Information and communication ",BP22,"Rubber and plastic products, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,27,,
NLD,Netherlands,UP2Z51,"P2, Air transport ",BP51,"Air transport services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,139,,
NLD,Netherlands,UP2Z46,"P2, Wholesale trade, except of motor vehicles and motorcycles",BP64,"Financial services, except insurance and pension funding, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,1124,,
NLD,Netherlands,UP3S15,Final consumption expenditure by NIPSH ,BP95,"Repair services of computers and personal and household goods, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP2Z86,"P2, Human health activities ",BP53,"Postal and courier services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,112,,
NLD,Netherlands,UP2Z90_92,"P2, Arts, cultural activities, gambling and betting activities",BP49,"Land transport services and transport services via pipelines, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,30,,
NLD,Netherlands,UP2Z03,"P2, Fishing and aquaculture ",BP26,"Computer, electronic and optical products, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP2Z78,"P2, Employment activities",BPO,"Public administration and defence services, compulsory S.S. services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,51,,
NLD,Netherlands,UP3S13,Final consumption expenditure by government,BP31_32,"Furniture and other manufactured goods, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP3S14,"Final consumption expenditure by households, domestic concept",BP62_63,"Computer programming, consultancy and related serv., Information serv., bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,273,,
NLD,Netherlands,UP2Z36,"P2, Water collection, treatment and supply ",BP28,"Machinery and equipment n.e.c., bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP2Z02,"P2, Forestry and logging ",BPS,"Other services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP2ZTOT,"Intermediate consumption (P2), Total activity",BP90_92,"Creative, arts, entmnt, library, museum, other cult. serv., gambling, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,2428,,
NLD,Netherlands,UP2ZU,"P2, Activities of extraterritorial organizations and bodies",BPT,"Services of HH as employers, undif. G&S prod. by HH for own use, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP2Z10_12,"P2, Manufacture of food products, beverages and tobacco products ",D21_D31,Taxes less subsidies on products,FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,633,,
NLD,Netherlands,UP2Z03,"P2, Fishing and aquaculture ",BPE,"Water supply, sewerage, waste management and remediation services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,2,,
NLD,Netherlands,UP2Z52,"P2, Warehousing and support activities for transportation",BPB,"Mining and quarrying, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,8,,
NLD,Netherlands,UP2Z18,"P2, Printing and reproduction of recorded media",BPT,"Services of HH as employers, undif. G&S prod. by HH for own use, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP2Z66,"P2, Activities auxiliary to financial service and insurance activities",BP16,"Wood & prod. of wood & cork, exc. furniture, of straw & plaiting mat.., bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,2,,
