LOCATION,Country,TRANSACT,Transaction,ACTIVITY,Activity,MEASURE,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
NLD,Netherlands,SP1,Output at basic prices  ,Z62_63,IT and other information services,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,50730,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,ZG,"Wholesale and retail trade, repair of motor vehicles and motorcycles",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,SP11,Market output at basic prices   ,ZTOT,Total activity,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,1381032,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z17,Manufacture of paper and paper products,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,18,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z51,Air transport,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,SP11,Market output at basic prices   ,Z65,"Insurance, reinsurance and pension funding, except compulsory S.S.",C,Current prices,2019,2019,EUR,Euro,6,Millions,,,22231,,
NLD,Netherlands,SP1,Output at basic prices  ,Z79,"Travel agency, tour operator, reservation service & related activities",C,Current prices,2019,2019,EUR,Euro,6,Millions,,,16246,,
NLD,Netherlands,SP11,Market output at basic prices   ,ZR,"Arts, entertainment and recreation",C,Current prices,2019,2019,EUR,Euro,6,Millions,,,13775,,
NLD,Netherlands,SP11,Market output at basic prices   ,ZL,Real estate activities,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,48344,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z78,Employment activities,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,152,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z61,Telecommunications,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,SP1,Output at basic prices  ,Z72,Scientific research and development,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,5262,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z74_75,"Other professional, scientific and tech. activities, veterinary activ.",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,4,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,ZF,Construction,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,SP11,Market output at basic prices   ,Z90_92,"Arts, cultural activities, gambling and betting activities",C,Current prices,2019,2019,EUR,Euro,6,Millions,,,7539,,
NLD,Netherlands,SP1,Output at basic prices  ,ZA,"Agriculture, forestry and fishing",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,32416,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z31_32,"Manufacture of furniture, other manufacturing",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,75,,
NLD,Netherlands,SP11,Market output at basic prices   ,Z21,Manufacture of basic pharmaceutical products and preparations,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,6422,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z45,Wholesale and retail trade and repair of motor vehicles and motorcycles,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,85,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z46,"Wholesale trade, except of motor vehicles and motorcycles",C,Current prices,2019,2019,EUR,Euro,6,Millions,,,723,,
NLD,Netherlands,SP11,Market output at basic prices   ,ZD,"Electricity, gas, steam and air conditioning supply",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,16737,,
NLD,Netherlands,SP1,Output at basic prices  ,Z66,Activities auxiliary to financial service and insurance activities,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,10275,,
